ID,Restaurant,Address,Time,Price,District,Lowest_price,Highest_price,Average_price
1052,Hệ Thống Gà Quay & Cơm Lam Ngọc Minh Food Quận 6 Phú Lâm - Lê Tuấn Mậu,"118 Lê Tuấn Mậu, P. 13, Quận 6, TP. HCM",08:00 - 23:00,0 - 0,Quận 6,0,0,0.0
1053,Bánh Bao Thọ Phát - Minh Phụng,"97A Minh Phụng, P. 9, Quận 6, TP. HCM",06:00 - 21:45,15.000 - 33.000,Quận 6,15000,33000,24000.0
1054,Súp Cua Thịnh - Tân Hoà Đông,"79/34A29 Tân Hoà Đông, P. 11, Quận 6, TP. HCM",00:00 - 23:59,15.000 - 125.000,Quận 6,15000,125000,70000.0
1055,Gà Rán Chicken Plus - Bà Hom,"192 Bà Hom, P. 13, Quận 6, TP. HCM",00:00 - 00:00,35.000 - 219.000,Quận 6,35000,219000,127000.0
1056,Phở & Lẩu Bò - Chợ Lớn,"63/3 Nguyễn Thị Nhỏ, P. 2, Quận 6, TP. HCM",06:20 - 21:20,35.000 - 55.000,Quận 6,35000,55000,45000.0
1057,Quán Ông Mập - Bún Mắm & Bún Thái,"93/4 Nguyễn Văn Luông, P. 10, Quận 6, TP. HCM",08:00 - 20:00,50.000 - 70.000,Quận 6,50000,70000,60000.0
1058,Cô Mai - Bánh Hot Dog - 146 Lê Quang Sung,"146 Lê Quang Sung, P. 6, Quận 6, TP. HCM",00:00 - 00:00,2.000 - 10.000,Quận 6,2000,10000,6000.0
1059,Bánh Cuốn Nóng Anh Thư - 200/1 Bình Tiên,"200/1 Bình Tiên, P. 4, Quận 6, TP. HCM",00:00 - 00:00,10.000 - 40.000,Quận 6,10000,40000,25000.0
1060,Ly Ly Nướng - Chi Lăng,"199/7 Lê Quang Sung, Quận 6, TP. HCM",00:00 - 00:00,15.000 - 60.000,Quận 6,15000,60000,37500.0
1061,Vú Heo Nướng & Phá Lấu Bò Chị Dung 199,"199 Lê Quang Sung, Quận 6, TP. HCM",00:00 - 00:00,5.000 - 20.000,Quận 6,5000,20000,12500.0
